index,Country,Human Development Index (HDI),Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,HDI rank,Gender Development Index,GDI Group,HDI Female,HDI Male,Life expectancy at birth Female,Life expectancy at birth Male,Expected years of schooling Female,Expected years of schooling Male,Mean years of schooling Female,Mean years of schooling Male,Estimated  gross national income per capita,GNI Male,Youth literacy rate Female,Youth literacy rate Male,Population with at least some secondary education,Pre-primary,Primary,Secondary,Tertiary,Primary school dropout rate,Lower secondary retention,Government expenditure on education,Exports and imports,Stock of immigrants,International student mobility,International inbound tourists,Share of internet users,Share of female internet users,Lost health expectancy,"Physicians per 10,000 people","Hospital beds per 10,000 people","Pupil–teacher ratio, primary school",Primary schools with access to the Internet,Secondary schools with access to the Internet,PISA Reading,PISA Math,PISA Science,Share of vulnerable employment,Share of rural population with access to electricity,Share of population with safe drinking water,Share of population with sanitation services,Male to female births,Gender enrolment ratio pre-primary,Gender enrolment ratio primary,Gender enrolment ratio secondary,Youth unemployment rate gender ratio,At least some secondary education gender ratio,Total unemployment rate gender ratio,Share of female employment in nonagriculture,Share of seats held by women in parliament,Share of seats held by women in local government,Share of hour women spent on unpaid domestic chores and care work,Time spent on unpaid domestic chores and care work gender ratio,Old-age pension recipients gender ratio,Share of women married by age 18,Share of female in STEM tertiary education programs,Share of female STEM tertiary education graduates,Female share of employment in senior and middle management,Women with account at financial institution or with mobile money-service provider,Days of mandatory paid maternity leave,Share of violence against women ever experienced by intimate partner,Share of violence against women ever experienced by nonintimate partner,Share of skilled labour force,Ratio of education and health expenditure to military expenditure,Gender Inequality Index,GII Rank,Maternal mortality ratio,Adolescent birth rate,Share of seats in parliament held by women,Share at least some secondary education Female,Share at least some secondary education Male,Labour force participation rate Female,Labour force participation rate Male
9680844,Finland,0.938,81.91,19.39712,12.82413,48511.3978,11,0.9899190976379478,1,0.9324888493432365,0.9419849072194425,84.718,79.091,20.20295,18.62983,12.99106,12.64766,40758.7551517039,56485.02918287682,..,..,100,83.58174,100.15464,153.96358,88.19783,0.19134,99.85605,6.89735,79.46667,6.925256627,4.48993,3224,88.89,87.6452,14.081805662474068,38.118,36.1,13.66688,100,100,520.0787482,507.3013618,521.884563,9.585,100.0,100,99,1.05,0.9963936139401703,0.9948693591335067,1.1004131251092666,0.769239118636709,1,0.9161816065192084,48.96463,47,39.05,14.52917,1.4596063760213058,1,..,12.39173,27.40048,36.76,99.58627319,147,30,11,90.5192,11.42543,0.047,7,3,5.813,47,100,100,55.542,62.773
9680845,Singapore,0.938,83.62,16.44088,11.62461,88155.21431,12,0.9852372575048299,1,0.9308035314585691,0.9447506419071916,85.728,81.526,16.65767,16.28347,11.17682,12.1125,71387.27614451066,103421.3856924149,99.94237,99.91742,81.42356,..,100.62695,107.5746,84.79291,0.85961,98.98744,2.85435,319.1484,37.13866028,10.5088,14673,88.1656,87.5644,12.22312632124014,22.936,24.9,14.69428,..,..,549.4647078,569.0077799,550.9369001,9.666,100.0,100,100,1.07,..,0.9989262992325572,0.9896164495712011,1.8786429532207445,0.9181298760664783,1.08884401817264,41.83149,23,..,..,..,..,..,22.55244,34.26117,..,96.31292725,84,6.1,..,84,2.140047,0.065,12,8,3.53,23,78.09105,85.05447,61.97,78.298
9680846,United Kingdom,0.932,81.32,17.49843,13.24287,46070.64481,14,0.9699238256280696,2,0.9159521804260728,0.944354758821346,82.999,79.613,17.98136,17.01851,13.24347,13.24225,33322.8166645938,59134.68614066317,..,..,78.79872144,106.38731,101.15456,125.85187,59.99557,0.24553,..,5.48697,64.25368,14.14495139,16.46796,36316,94.8967,95.2607,14.753650435690846,28.117,24.6,15.13275,..,..,503.9281094,501.7698992,504.6674736,12.998,100.0,100,98,1.05,0.9980159728832099,0.9971326745872438,1.0292982136582127,0.6615281998073075,0.9836078489053186,0.873229115779189,47.17566,28.90896456,34.25,12.65278,1.8165500884386558,1,..,17.5272,38.10313,34.91,96.07344055,42,29,7,84.3688,8.386448,0.118,31,7,13.37,28.90896456,78.00672324,79.30673116,57.647,68.11
9680847,Belgium,0.931,81.63,19.77438,12.05027,52084.59209,13,0.9738078064627926,2,0.9179405118829523,0.9426300608712825,83.882,79.32,20.72962,18.83843,11.93601,12.17293,41948.318533633,62427.38621331777,..,..,86.59634993,115.14532,103.90557,158.54185,79.66173,..,93.31459,6.54513,163.2932,17.17534158,5.69254,9119,88.6551,87.2604,14.355610916943473,30.709,55.8,11.27695,100,100,492.8644387,508.0703063,498.773127,10.189,100.0,100,97,1.05,0.99793816275509,1.0009925355701907,1.1206666247661212,0.7405490549054905,0.9585949018729745,0.8592939601806926,46.59203,43.33333333,39.03,15.90278,1.5793112625925572,1,..,7.22535,25.83196,31.88,98.81755066,105,24,8,85.6118,18.34235,0.043,4,5,4.651,43.33333333,84.72241,88.38187,48.608,58.699
9680848,New Zealand,0.931,82.29,18.83857,12.78207732,40798.7196,14,0.9642864080198679,2,0.9118545920901724,0.9456263040797572,83.981,80.571,19.74466,17.91784,12.71496574,12.85611319,31232.963310135274,50692.96028665708,..,..,97.16536525,91.46968,99.97476,114.59004,82.03322,..,..,6.44277,55.94195,22.34423841,17.83445,3686,90.8111,82.1509,14.912251881050487,35.898,25.7,14.91552,..,..,505.7272834,494.489676,508.4907214,12.087,100.0,100,89,1.06,1.0114379898687849,1.0043334793429766,1.063792950628121,1.0665196618890114,1.0055455505223378,1.1950040290088637,48.42234,40.83333333,39.41,18.05556,1.7105260166206246,1,..,12.93056,34.96016,..,99.34078217,..,..,..,82.18,13.34436,0.123,33,9,19.27,40.83333333,97.38831267,96.85121934,64.772,75.335
9680849,Canada,0.929,82.43,16.15789,13.36610479,48527.03573,14,0.9855929026542676,1,0.9215525045584151,0.935023478838588,84.391,80.447,16.66986,15.66355,13.41614,13.31281,39459.204895532974,57733.57500352735,..,..,100,..,100.94368,113.76286,68.92251,..,..,..,64.97671,21.27889391,9.87913,21134,91,..,14.273897077836873,26.102,25.2,..,..,..,520.0855209,512.0169429,517.9976609,10.691,100.0,99,82,1.05,..,0.9975925774204543,1.0130385076324224,0.8224465558194775,1,0.9018163125428375,47.78828,33.18284424,26.6,14.58333,1.5217393119093259,1,..,11.63188,31.4295,..,99.85279846,105,..,..,91.9557,13.06508,0.08,19,10,8.387,33.18284424,100,100,60.836,69.422
9680850,United States,0.926,78.86,16.31039,13.41344,63825.65748,17,0.993544801844942,1,0.9217149522350425,0.9277034619108101,81.405,76.341,16.92108,15.71635,13.46054,13.36257,50590.342929277016,77338.34193711884,..,..,96.02937,72.93408,101.82144,98.95234,88.16739,..,..,4.96174,26.38873,15.39548775,4.72445,79745.92,87.2661,74.8821,17.105908282209004,26.12,28.7,14.19857,..,..,505.3527705,478.2447174,502.3800319,3.837,100.0,99,90,1.05,1.0058336201376359,0.9923441697162727,0.9949297630650135,0.7555968224491901,1.0010080306966445,0.9673622257891921,46.34943,23.72881356,..,15.375,1.6113531488722623,0.8686974789915967,..,10.42701,33.98544,40.85,92.68624878,..,..,..,96.4763,6.174673,0.204,46,19,19.86,23.72881356,96.07597,95.97922,56.126,68.186
9680851,Austria,0.922,81.54,16.09207,12.5461436,56196.89869,18,0.963932404178508,2,0.9027274536729487,0.9365049351590997,83.866,79.169,16.38729,15.81279,12.23973506,12.87223858,39385.87800432889,73527.75414800868,..,..,99.96717462,104.38375,103.11315,100.45521,85.05714,0.44908,99.61254,5.5007,107.7247,19.87534034,12.7319,30816,87.7105,85.6636,14.069385789556875,51.697,72.7,10.01653,..,..,484.3925685,498.9423138,489.7804392,7.385,100.0,99,97,1.06,0.9896136673138445,0.9972733145504257,0.9595460526598276,0.8929788684389912,1.0021340031720474,0.9504598662207357,46.67134,38.52459016,23.09,18.32865,1.9159722106073023,0.988,..,14.28622,25.9026,32.01,98.37577057,112,13,4,87.6045,21.73228,0.069,14,5,7.34,38.52459016,100,99.78705411,55.059,66.573
9680852,Israel,0.919,82.97,16.16283,13.0348541,40186.84583,21,0.9733183592157605,2,0.904138952277615,0.9289241733877434,84.505,81.331,16.76587,15.58872,13.05982,13.02647,29665.372638662826,50819.35830616068,..,..,89.27876052,110.79816,104.90112,105.08456,63.35469,1.42068,97.92609,5.8493,58.46463,22.96348665,-0.95742,4121,81.5812,80.2276,13.472446921805503,46.249,29.8,12.07069,85,85,470.415178,463.0345488,462.1966328,8.268,100.0,99,94,1.05,0.9993482103302889,1.0090078307357744,1.0169950709611952,1.1568249258160237,0.9696684700971162,1.0185523909067156,47.61032,23.33333333,17.13,..,..,..,..,..,..,34.84,93.70038605,105,..,..,90.3235,2.845188,0.109,26,3,9.607,23.33333333,87.94330874,90.69420266,59.693,68.547
9680853,Japan,0.919,84.63,15.23057,12.85,42931.69575,20,0.9775654704353921,1,0.9057559686513178,0.926542514076227,87.669,81.497,15.18894,15.2722,13.062,12.638,30583.929660183538,55869.37695070036,..,..,93.76192708,..,..,..,..,0.02326,99.95361,3.18618,36.81651,1.96979747,3.4416,31192,84.5881,89.7307,12.92327959299061,24.115,129.8,15.66096,..,..,503.856041,526.9732502,529.1354334,8.307,100.0,98,99,1.06,..,..,..,0.7329236587095249,1.0324416293437029,0.8915211970074812,44.30943,14.50704225,12.87,14.44444,4.727264396706333,..,..,..,..,..,98.06467438,98,..,..,99.91,14.91269,0.094,24,5,3.78,14.50704225,95.27327069,92.27957105,52.738,71.28
9680854,Liechtenstein,0.919,80.67,14.90233,12.53854,131031.5898,19,..,..,..,..,..,..,13.75457,16.02539,..,..,..,..,..,..,..,103.06667,104.69974,117.09433,35.62193,1.88391,93.52165,..,..,66.98492859,-43.92765,85.3,98.1,..,..,..,..,7.80156,..,..,..,..,..,..,100.0,..,..,..,1.0409000440301535,0.9672529772435545,0.8138433696647968,..,..,..,..,12,39.13,..,..,..,..,33.80282,40.67797,..,..,..,..,..,..,..,..,..,..,..,12,..,..,..,..
9680855,Slovenia,0.917,81.32,17.57206,12.65874,38079.53399,24,1.0014085210641908,1,0.9156499719077447,0.914362073666688,84.04,78.575,18.33965,16.8492,12.64336,12.67688,33885.02068794801,42311.69187776402,99.9,99.79,97.77278,91.72831,100.39674,115.60043,78.589,0.58376,99.15004,4.80289,159.7361,12.17720698,-0.08423,4425,79.75,77.5712,13.542291558824637,30.861,44.3,13.80157,100,100,495.3456152,508.8975441,507.0065459,11.196,100.0,98,83,1.06,0.9818124195121467,1.0032835105279745,1.0246805987384577,1.4643092756300304,0.9891031858265947,1.228255139694254,46.27051,22.30769231,33.65,..,..,..,..,14.46338,33.32192,40.51,96.93920898,105,13,4,92.1087,13.19913,0.063,10,7,3.776,22.30769231,97.2491,98.32048,53.401,63.426
9680856,Korea (Republic of),0.916,83.03,16.48165,12.21376462,43043.71057,22,0.9361131436640374,3,0.8805218558850386,0.9406147770114528,85.954,79.935,15.91375,16.97458,11.4283,12.87406,27734.215949119614,58309.27944080957,..,..,86.04469609,94.9852,98.0886,100.33825,94.34969,0.52357,99.34073,4.59437,76.7094,2.271640807,-1.10327,15347,95.8983,94.6165,12.77145500861513,23.608,124.3,16.28669,100,100,514.0522882,525.933002,519.0072549,19.041,100.0,98,100,1.06,1.0028984284891949,0.9975433135330066,0.993568910119637,0.8203015572217186,0.8425410897682664,0.9004389004389005,42.33767,16.66666667,18.59,13.95833,4.187503187503188,0.9590000000000001,..,14.43469,25.21585,..,94.68531036,90,..,..,85.9853,4.570565,0.064,11,11,1.379,16.66666667,80.43655096,95.46899485,52.892,73.102
9680857,Luxembourg,0.916,82.25,14.25582,12.31145,72711.67412,23,0.9759421347047924,1,0.9007376125553426,0.9229416176685536,84.346,80.157,14.31781,14.1982,11.99978,12.63556,58642.06280804499,86487.78224203957,..,..,100,91.90925,102.28595,103.65505,19.15177,17.026,98.296,3.95519,381.5166,47.37847332,-109.3369,1018,97.0613,95.973,14.382577753490732,30.09,42.6,8.30333,..,..,469.9853893,483.421485,476.7694059,5.615,100.0,100,97,1.05,0.9774065563059564,0.9944630723615769,1.0213433246525332,0.8421347266281022,1,1.1978848891600569,45.89681,25,25.11,14.44444,2.039216018454597,0.6609999999999999,..,9.52928,27.57475,17.9,98.17749023,112,22,8,79.5526,19.54234,0.065,12,5,4.727,25,100,100,54.914,63.67
9680858,Spain,0.904,83.57,17.61613,10.25178,40974.52408,25,0.9858652738011706,1,0.896326715634599,0.9091776933968466,86.248,80.826,18.01731,17.22631,10.16173,10.34807,32880.97702057912,49355.52706476317,99.7439,99.6885,77.72236,92.45296,102.71029,126.0045,88.85301,0.12663,92.69784,4.20911,66.91707,13.06081318,1.17233,82773,86.1072,85.6031,13.829921209806063,38.723,29.7,13.13172,100,100,..,481.3926126,483.2520427,10.982,100.0,98,97,1.06,1.0033661034573575,1.0166232542619074,1.0136243909215892,1.098082174382422,0.9393358769473741,1.3473019040492227,46.00047,41.85667752,38.49,18.95833,2.2016128002081032,0.46596858638743455,..,12.43523,29.55581,33.72,91.64125061,112,13,3,67.6972,11.63594,0.07,16,4,7.725,41.85667752,75.37,80.23754,51.853,63.429
9680859,France,0.901,82.66,15.64217,11.4795,47172.53748,26,0.987152994137522,1,0.8949895448103902,0.9066371171698109,85.486,79.716,15.97014,15.31928,11.26852,11.71352,39477.530000538514,55375.44630588238,..,..,84.02119,105.98598,102.51076,103.76003,65.629,..,99.76307,..,64.52273,12.79734348,6.67242,89322,82.0435,80.4143,13.714338225444845,32.672,59.1,18.1766,98,98.6,492.6064792,495.4075794,492.9770739,7.428,100.0,98,88,1.05,1.0004461940721494,0.9944020913697919,1.0060075351301423,0.8598785385444215,0.941542123556137,0.9857395403653508,48.64317,36.86486486,40.4,15.77314,1.6612678311131333,1,..,14.48866,31.80564,34.24,91.28713226,112,26,9,85.735,..,0.049,8,8,4.727,36.86486486,81.69858,86.77103016,50.752,59.906
9680860,Czechia,0.9,79.38,16.78511,12.72238228,38108.56662,26,0.9854316655027545,1,0.8925294838935959,0.9057243796181838,81.944,76.76,17.52742,16.07821,12.54734683,12.90645352,29480.47924220943,47012.12446856166,..,..,99.97742903,106.41897,100.67099,103.49158,64.07869,0.51565,95.46067,5.58738,144.8765,4.796472779,8.81394,10611,80.6882,78.675,13.66043323865378,41.208,66.2,18.93175,..,..,490.2188148,499.4676508,496.7913106,13.681,100.0,98,94,1.06,0.9695781195089824,1.0056037469604453,1.0071518725972033,1.0963168187744459,1.0008419191030953,1.5213784301212507,45.01232,20.6405694,27.06,..,..,1,..,13.86285,35.56827,26.61,78.58478546,196,21,4,95.3939,12.7095,0.136,36,3,11.972,20.6405694,99.98682,99.90271,52.939,68.548
9680861,Malta,0.895,82.53,16.10407,11.32613,39554.52078,28,0.965690318755337,2,0.8773965289810337,0.9085692503492179,84.263,80.699,16.54657,15.69361,11.05503,11.59871,29367.740809772848,49686.441085377046,99.56088,99.05695,82.17869,107.71926,104.99837,104.75412,54.25992,6.19334,99.26904,5.20455,261.0121,19.29028185,0.75024,2599,81.4031,81.4792,13.938378910888316,28.598,44.9,12.93931,..,..,448.2347604,471.7244151,456.5903228,9.809,100.0,100,93,1.06,0.9886225639217929,1.0019338297713123,0.9984297127124018,0.5826338639652677,0.9197712558073008,1.155541947336191,40.96937,14.92537313,26.29,..,..,0.428,..,10.30641,27.84946,30.01,96.96466064,126,15,5,63.4538,29.45122,0.175,40,6,12.879,14.92537313,78.70788,85.57332,46.047,67.06
9680862,Estonia,0.892,78.75,15.989,13.14306146,36019.26692,30,1.016865658667438,1,0.8963960057980453,0.8815284478902912,82.711,74.358,16.79529,15.22564,13.57210536,12.68028577,27086.33018871619,45984.267147747014,99.95904,99.93924,100,92.38737,97.23017,117.52009,69.63503,0.58976,99.55839,5.17316,141.1542,14.35086841,0.0544,3234,89.357,89.2705,12.707816179137065,44.833,45.7,11.31153,100,100,523.0170184,523.4145802,530.1080046,6.149,100.0,93,97,1.07,0.992055882903468,1.0004752706985534,1.0226068095809946,0.9411400247831473,1,0.9451846212409594,48.99126,29.7029703,28.63,17.22222,1.5999996283871352,1,..,17.54096,38.37799,35.11,98.37523651,140,20,9,91.1513,5.626173,0.086,21,9,7.698,29.7029703,100,100,57.102,71.008
9680863,Italy,0.892,83.51,16.0889,10.37955,42776.35692,29,0.967767104697158,2,0.8753458332463552,0.9045005032696125,85.539,81.325,16.41448,15.78341,10.17920413,10.59922043,31638.919311589943,54529.25129868711,99.95,99.92,79.7274824,93.95802,101.87936,101.27041,61.933,0.24517,99.18309,3.82926,60.13943,10.361212599999998,1.26806,61567.2,74.3872,71.7819,14.273284335610592,39.774,31.4,11.48066,70,88.3,476.2846793,486.5898573,468.0117273,16.866,100.0,95,96,1.06,0.9769981672076992,0.9699882952445962,0.9929784419894071,1.1881886293521373,0.9105424509425766,1.1803528642997168,42.72882,35.26315789,31.78,20.4,2.4285714285714284,0.825,..,15.72159,39.52253,23.27,91.62443542,150,19,5,69.9714,9.487782,0.069,14,2,5.24,35.26315789,75.89580065,83.35229244,40.759,58.997
9680864,United Arab Emirates,0.89,77.97,14.3441,12.11122,67462.0953,30,0.9306258727041725,3,0.8424034774782221,0.9052010073934463,79.314,77.291,14.81044081,14.11443511,11.6769,12.42786,28577.657802941496,84722.52253829598,99.11,99.64,78.91768,77.97611,108.39706,104.94793,..,8.04099,96.76002,..,160.9361,87.88936607,27.74174,21286,98.45,98.8,12.883067300255647,25.278,13.8,24.52278,100,100,431.7817695,434.9472519,433.6368028,0.932,100.0,..,96,1.05,0.951344282944172,0.98092905147312,0.9187018875825261,2.2610993657505283,0.9382200166336516,3.878127004490058,17.156,50,..,..,..,..,..,22.2069,41.48553,15.75,76.41671753,45,..,..,52.4057,..,0.079,18,3,6.546,50,76.02257,81.02851,52.391,93.389
