Country,country_ID,grade_4,grade_8,Human Development Index (HDI),Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,HDI rank,Gender Development Index,GDI Group,HDI Female,HDI Male,Life expectancy at birth Female,Life expectancy at birth Male,Expected years of schooling Female,Expected years of schooling Male,Mean years of schooling Female,Mean years of schooling Male,Estimated  gross national income per capita,GNI Male,Youth literacy rate Female,Youth literacy rate Male,Population with at least some secondary education,Pre-primary,Primary,Secondary,Tertiary,Primary school dropout rate,Lower secondary retention,Government expenditure on education,Exports and imports,Stock of immigrants,International student mobility,International inbound tourists,Share of internet users,Share of female internet users,Lost health expectancy,"Physicians per 10,000 people","Hospital beds per 10,000 people","Pupil–teacher ratio, primary school",Primary schools with access to the Internet,Secondary schools with access to the Internet,PISA Reading,PISA Math,PISA Science,Share of vulnerable employment,Share of rural population with access to electricity,Share of population with safe drinking water,Share of population with sanitation services,Male to female births,Gender enrolment ratio pre-primary,Gender enrolment ratio primary,Gender enrolment ratio secondary,Youth unemployment rate gender ratio,At least some secondary education gender ratio,Total unemployment rate gender ratio,Share of female employment in nonagriculture,Share of seats held by women in parliament,Share of seats held by women in local government,Share of hour women spent on unpaid domestic chores and care work,Time spent on unpaid domestic chores and care work gender ratio,Old-age pension recipients gender ratio,Share of women married by age 18,Share of female in STEM tertiary education programs,Share of female STEM tertiary education graduates,Female share of employment in senior and middle management,Women with account at financial institution or with mobile money-service provider,Days of mandatory paid maternity leave,Share of violence against women ever experienced by intimate partner,Share of violence against women ever experienced by nonintimate partner,Share of skilled labour force,Ratio of education and health expenditure to military expenditure,Gender Inequality Index,GII Rank,Maternal mortality ratio,Adolescent birth rate,Share of seats in parliament held by women,Share at least some secondary education Female,Share at least some secondary education Male,Labour force participation rate Female,Labour force participation rate Male
"Canada, Ontario",9132,yes,yes,0.929,82.43,16.15789,13.36610479,48527.03573,14.0,0.9855929026542676,1.0,0.9215525045584151,0.935023478838588,84.391,80.447,16.66986,15.66355,13.41614,13.31281,39459.204895532974,57733.57500352735,,,100.0,,100.94368,113.76286,68.92251,,,,64.97671,21.27889391,9.87913,21134.0,91.0,,14.273897077836873,26.102,25.2,,,,520.0855209,512.0169429,517.9976609,10.691,100.0,99.0,82.0,1.05,,0.9975925774204543,1.0130385076324224,0.8224465558194775,1.0,0.9018163125428375,47.78828,33.18284424,26.6,14.58333,1.5217393119093259,1.0,,11.63188,31.4295,,99.85279846,105.0,,,91.9557,13.06508,0.08,19.0,10.0,8.387,33.18284424,100.0,100.0,60.836,69.422
"Canada, Quebec",9133,yes,yes,0.929,82.43,16.15789,13.36610479,48527.03573,14.0,0.9855929026542676,1.0,0.9215525045584151,0.935023478838588,84.391,80.447,16.66986,15.66355,13.41614,13.31281,39459.204895532974,57733.57500352735,,,100.0,,100.94368,113.76286,68.92251,,,,64.97671,21.27889391,9.87913,21134.0,91.0,,14.273897077836873,26.102,25.2,,,,520.0855209,512.0169429,517.9976609,10.691,100.0,99.0,82.0,1.05,,0.9975925774204543,1.0130385076324224,0.8224465558194775,1.0,0.9018163125428375,47.78828,33.18284424,26.6,14.58333,1.5217393119093259,1.0,,11.63188,31.4295,,99.85279846,105.0,,,91.9557,13.06508,0.08,19.0,10.0,8.387,33.18284424,100.0,100.0,60.836,69.422
Chile,152,yes,yes,0.851,80.18,16.44755,10.58295,23261.29726,43.0,0.9627589312244506,2.0,0.8325276348416307,0.8647311469578477,82.442,77.771,16.67013,16.23049,10.47589,10.7104,16397.96495008529,30321.884984345852,99.01156,99.00582,79.64660737,81.76367,101.43016,101.83142,88.46442,0.45466,99.25933,5.40274,56.76179,4.959846535,-0.90993,5723.0,82.3275,80.7228,13.63863310222192,25.912,20.6,17.79358,,,452.2725542,417.4065563,443.5825634,22.694,100.0,99.0,77.0,1.04,0.9818317840929351,0.9715771610933113,1.0038111570079213,1.1679030522679654,0.9587462153212107,1.1595904847937368,43.83626,22.72727273,24.86,22.10355,2.243113428509959,1.593959731543624,,6.7635,18.82858,28.29,71.27378845,126.0,,,71.2648,7.432401,0.247,55.0,13.0,41.052,22.72727273,77.77333,81.11983,51.798,73.975
Croatia,191,yes,no,0.851,78.49,15.22672,11.44932,28069.84837,44.0,0.9900189694790634,1.0,0.8484817587070592,0.8570358597810712,81.59,75.296,15.95024,14.53507,11.09893,12.17293,23775.240506791688,32688.748476732333,99.73572,99.71204,95.84457776,70.04889,96.47103,99.40242,67.86556,2.95915,96.63524,4.55695,102.8498,12.54345927,-5.26118,16645.0,72.6888,70.8541,13.28284095879666,29.996,55.4,13.50611,,,478.9891523,464.2042728,472.3626195,7.271,100.0,90.0,58.0,1.06,0.9836173345620438,1.0012382165615668,1.0485849125581352,1.5390700233869858,0.971286977339089,1.5860550458715597,46.26877,20.52980132,26.39,,,,,17.62704,38.91309,24.27,82.69694519,208.0,13.0,3.0,91.7963,6.733148,0.116,29.0,8.0,8.681,20.52980132,94.62314444,97.42037796,45.446,57.49
Cyprus,196,yes,yes,0.887,80.98,15.16887,12.17123,38206.84049,32.0,0.9790503054886733,1.0,0.8764220739241164,0.8951757320443998,83.032,78.921,15.39407,14.94421,12.07645,12.26718,31880.869915379466,44532.59995158062,99.83831,99.80454,81.77329,83.71259,99.30669,100.33255,75.94081,1.24364,93.10108,6.29136,142.643,16.01251486,-51.17312,3939.0,84.4336,84.5601,13.49806818028535,19.509,34.0,12.03922,,,424.3582471,450.6829941,439.0082497,11.06,100.0,100.0,75.0,1.07,0.9883987828277897,1.0010818669408443,0.9843987401177317,0.8402569088444994,0.9542979505019914,1.2403787416004888,46.2347,17.85714286,,,,0.768,,8.94746,38.26274,26.99,90.01422119,126.0,15.0,2.0,84.9979,9.056131,0.086,21.0,6.0,4.582,17.85714286,79.93714,83.76539,57.835,68.346
Czechia,203,yes,no,0.9,79.38,16.78511,12.72238228,38108.56662,26.0,0.9854316655027545,1.0,0.8925294838935959,0.9057243796181838,81.944,76.76,17.52742,16.07821,12.54734683,12.90645352,29480.47924220943,47012.12446856166,,,99.97742903,106.41897,100.67099,103.49158,64.07869,0.51565,95.46067,5.58738,144.8765,4.796472779,8.81394,10611.0,80.6882,78.675,13.66043323865378,41.208,66.2,18.93175,,,490.2188148,499.4676508,496.7913106,13.681,100.0,98.0,94.0,1.06,0.9695781195089824,1.0056037469604453,1.0071518725972033,1.0963168187744459,1.0008419191030953,1.5213784301212507,45.01232,20.6405694,27.06,,,1.0,,13.86285,35.56827,26.61,78.58478546,196.0,21.0,4.0,95.3939,12.7095,0.136,36.0,3.0,11.972,20.6405694,99.98682,99.90271,52.939,68.548
Denmark,208,yes,no,0.94,80.9,18.89342,12.61380326,58661.87084,10.0,0.9825656024202176,1.0,0.9310091587903512,0.9475287517669307,82.865,78.946,19.55325,18.25409,12.83248399,12.39449532,49296.29514256886,68133.62253042427,,,90.94939381,95.91547,101.26809,129.07748,80.61602,0.22989,99.70299,7.63485,105.0017,12.52414293,9.05599,12749.0,97.6443,97.4618,13.81837636081239,40.099,26.0,10.73738,100.0,100.0,501.1299337,509.3983746,492.6370334,4.895,100.0,97.0,95.0,1.06,0.9888300451989084,0.9935870453314958,1.010911859917461,0.8948435689455387,1.0029498096636111,1.114831508907491,47.83098,39.10614525,33.33,15.625,1.3888888888888888,1.0224948875255624,,12.74708,34.24926,26.63,100.0,126.0,32.0,11.0,79.6615,15.49393,0.038,2.0,4.0,4.123,39.10614525,91.15192,90.88383,58.248,66.285
Egypt,818,no,yes,0.707,71.99,13.32624,7.434,11466.14512,117.0,0.8823332278842357,5.0,0.652050925257035,0.7390075593328846,74.35,69.742,13.31444,13.33763,6.78,8.082,4752.9076273667615,18039.470400234823,86.81055,89.48338,72.95913,28.70762,106.28493,87.91114,35.16452,2.98073,92.3208,,48.27827,0.502104468,0.70563,11196.0,46.9243,41.2807,11.97815430302761,4.521,14.3,23.67945,47.6,49.1,,,,20.721,100.0,,61.0,1.06,0.9957863977228959,1.0039204126722399,0.9865933151913497,1.5489995839479558,1.0133947066100304,3.05939226519337,17.43754,14.93288591,,22.36111,9.1999827200316,,17.4,7.73353,36.89891,,26.9944191,90.0,25.6,,57.196,3.772576,0.449,108.0,37.0,53.819,14.93288591,73.50696,72.53537,21.933,70.858
England,926,yes,yes,0.932,81.32,17.49843,13.24287,46070.64481,14.0,0.9699238256280696,2.0,0.9159521804260728,0.944354758821346,82.999,79.613,17.98136,17.01851,13.24347,13.24225,33322.8166645938,59134.68614066317,,,78.79872144,106.38731,101.15456,125.85187,59.99557,0.24553,,5.48697,64.25368,14.14495139,16.46796,36316.0,94.8967,95.2607,14.753650435690846,28.117,24.6,15.13275,,,503.9281094,501.7698992,504.6674736,12.998,100.0,100.0,98.0,1.05,0.9980159728832099,0.9971326745872438,1.0292982136582127,0.6615281998073075,0.9836078489053186,0.873229115779189,47.17566,28.90896456,34.25,12.65278,1.8165500884386558,1.0,,17.5272,38.10313,34.91,96.07344055,42.0,29.0,7.0,84.3688,8.386448,0.118,31.0,7.0,13.37,28.90896456,78.00672324,79.30673116,57.647,68.11
Finland,246,yes,yes,0.938,81.91,19.39712,12.82413,48511.3978,11.0,0.9899190976379478,1.0,0.9324888493432365,0.9419849072194425,84.718,79.091,20.20295,18.62983,12.99106,12.64766,40758.7551517039,56485.02918287682,,,100.0,83.58174,100.15464,153.96358,88.19783,0.19134,99.85605,6.89735,79.46667,6.925256627,4.48993,3224.0,88.89,87.6452,14.081805662474068,38.118,36.1,13.66688,100.0,100.0,520.0787482,507.3013618,521.884563,9.585,100.0,100.0,99.0,1.05,0.9963936139401703,0.9948693591335067,1.1004131251092666,0.769239118636709,1.0,0.9161816065192084,48.96463,47.0,39.05,14.52917,1.4596063760213058,1.0,,12.39173,27.40048,36.76,99.58627319,147.0,30.0,11.0,90.5192,11.42543,0.047,7.0,3.0,5.813,47.0,100.0,100.0,55.542,62.773
France,250,yes,yes,0.901,82.66,15.64217,11.4795,47172.53748,26.0,0.987152994137522,1.0,0.8949895448103902,0.9066371171698109,85.486,79.716,15.97014,15.31928,11.26852,11.71352,39477.530000538514,55375.44630588238,,,84.02119,105.98598,102.51076,103.76003,65.629,,99.76307,,64.52273,12.79734348,6.67242,89322.0,82.0435,80.4143,13.714338225444845,32.672,59.1,18.1766,98.0,98.6,492.6064792,495.4075794,492.9770739,7.428,100.0,98.0,88.0,1.05,1.0004461940721494,0.9944020913697919,1.0060075351301423,0.8598785385444215,0.941542123556137,0.9857395403653508,48.64317,36.86486486,40.4,15.77314,1.6612678311131333,1.0,,14.48866,31.80564,34.24,91.28713226,112.0,26.0,9.0,85.735,,0.049,8.0,8.0,4.727,36.86486486,81.69858,86.77103016,50.752,59.906
Georgia,268,yes,yes,0.812,73.77,15.27506,13.13296,14428.79984,63.0,0.9795443902116027,1.0,0.8000559453284734,0.816763337448795,78.14,69.349,15.53048,15.04899,13.16372,13.09626,9475.46215876198,19863.700141291753,99.49365,99.76825,97.95188,,98.63084,105.97872,63.9155,1.04408,98.39146,3.84974,116.8685,1.977474282,-2.31819,4757.0,63.9686,62.583,12.143258429300586,71.201,28.9,8.98194,100.0,100.0,379.7525406,397.5863553,382.6636063,49.084,100.0,80.0,27.0,1.07,,1.0115335980854339,1.01429327696664,1.2062642169728786,0.9865719426524109,0.8237927726255198,43.86098,14.76510067,13.46,,,0.9181166837256909,13.9,16.53543,38.67785,,63.61225891,183.0,6.0,2.7,93.4484,5.635334,0.331,76.0,25.0,46.408,14.76510067,97.22793,98.55128227,57.423,80.841
Germany,276,yes,no,0.947,81.33,16.97719,14.15168,55314.35355,4.0,0.9718804772078216,2.0,0.9327163495784005,0.9597027324368752,83.728,78.944,16.91137,17.03992,13.88232,14.43136,45277.165277536296,65599.45133535868,,,96.08825,109.1274,104.02236,98.40928,70.24665,3.51825,,4.80093,88.09866,15.72391121,4.42081,38881.0,89.7391,84.1628,14.134628306713825,42.488,80.0,12.30285,,,498.2792569,500.0437805,502.9889033,5.62,100.0,100.0,97.0,1.05,0.9904709488534984,1.002567930219752,0.9392192989550805,0.7970189248032156,0.9951313850222351,0.8058629973078073,46.67691,31.61953728,27.52,15.9,1.59,1.0,,19.16309,27.55567,28.59,99.19924927,98.0,22.0,7.0,87.3212,13.38897,0.084,20.0,7.0,8.095,31.61953728,95.85821,96.32719,55.275,66.565
Hong Kong,344,yes,yes,0.949,84.86,16.92947,12.27996,62984.76553,4.0,0.9723231390489695,2.0,0.9328290182028115,0.9593816918881646,87.747,81.971,17.14543,16.75865,11.90943,12.74265,45960.59933658365,82992.88075474797,,,79.40018,106.40481,108.61767,107.48979,76.92223,1.30122,98.97154,3.32259,352.8222,39.56687825,-0.69727,29263.0,89.4159,88.0177,,,,13.34788,99.2,95.2,524.2831172,551.1542742,516.6861296,5.717,100.0,,,1.08,1.0528315828820716,1.0447807277999692,0.9699301342984431,0.8256522134351423,0.9297635026671862,0.7898246480612496,49.65344,,,10.83333,3.25000225000225,,,,,,94.7024231,70.0,,,76.98,,,,,2.705,,77.0914338,82.9151,53.984,67.507
Hungary,348,yes,yes,0.854,76.88,15.20418,11.96329,31328.80599,42.0,0.9807894581244346,1.0,0.8442751144582097,0.8608117751109585,80.289,73.244,15.52508,14.89364,11.74955,12.21046,23170.165248187714,40316.33240913051,99.0,98.69,97.37776958,82.28416,100.80547,103.48996,48.50038,2.6253,96.63826,4.71078,162.9805,5.287144778,5.69755,17552.0,76.0744,74.8465,12.817980570155928,34.075,70.1,10.76744,100.0,98.7,475.9866722,481.0826364,480.9116939,6.024,100.0,90.0,96.0,1.06,0.9644829436873336,0.9941892361093937,1.0014533402361354,0.8439848037146475,0.9792667000137613,1.0447313119183428,46.48881,12.56281407,30.51,16.57483,2.1648842379137485,1.0,,12.17252,31.6804,35.9,72.15751648,168.0,21.0,3.0,88.824,11.58265,0.233,51.0,12.0,23.979,12.56281407,96.40590548,98.44703744,48.469,65.503
Iran,364,yes,yes,0.783,76.68,14.81373,10.34749,12446.66645,70.0,0.8655538720919798,5.0,0.7093174308169157,0.8194954163887544,77.885,75.593,14.5749,15.04388,10.27779,10.40977,4083.6031816690056,20636.86061401429,97.92513,98.26797,70.15283767,53.86047,110.70754,86.31149,68.11609,4.04544,94.3111,3.95536,48.78064,3.23493866,-0.78358,7295.0,70.0046,66.1502,14.05791697803538,15.844,15.6,28.52479,10.6,36.3,,,,41.425,100.0,92.0,,1.05,1.0314652107458238,1.0574787634924567,0.9630591479563511,1.7890758455756748,0.92472364050956,1.9264370201286574,17.32858,5.882352941,3.2,21.04167,4.040003225602065,0.0967741935483871,16.7,31.53651,31.16248,,91.61125946,270.0,,,17.98,4.009445,0.459,113.0,16.0,40.635,5.882352941,67.35319,72.83602046,17.541,71.509
Ireland,372,yes,yes,0.955,82.31,18.70529,12.6663305,68370.58737,3.0,0.9810242976135434,1.0,0.9430427884882875,0.9612838242460963,83.909,80.667,18.79073,18.62423,12.89739912,12.42200863,55540.14540196465,81400.50775398177,,,81.11964622,163.43983,100.85278,125.30712,77.78062,,99.41767,3.71973,239.2151,17.07250084,2.23969,10926.0,84.5223,85.7,14.224411117098201,33.125,29.7,16.06046,,,518.0784592,499.632894,496.1135617,10.61,100.0,97.0,82.0,1.06,0.9882025259905524,0.9969314156446714,0.9842584850436008,0.6854649648345923,1.0247705987460376,0.9088080886642039,47.50652,24.31192661,23.92,,,0.6115427302996671,,14.10374,29.00194,31.26,95.30703735,182.0,15.0,5.0,85.047,33.49423,0.093,23.0,5.0,7.515,24.31192661,81.92398,79.94372604,55.973,68.365
Israel,376,no,yes,0.919,82.97,16.16283,13.0348541,40186.84583,21.0,0.9733183592157605,2.0,0.904138952277615,0.9289241733877434,84.505,81.331,16.76587,15.58872,13.05982,13.02647,29665.372638662826,50819.35830616068,,,89.27876052,110.79816,104.90112,105.08456,63.35469,1.42068,97.92609,5.8493,58.46463,22.96348665,-0.95742,4121.0,81.5812,80.2276,13.472446921805503,46.249,29.8,12.07069,85.0,85.0,470.415178,463.0345488,462.1966328,8.268,100.0,99.0,94.0,1.05,0.9993482103302889,1.0090078307357744,1.0169950709611952,1.1568249258160237,0.9696684700971162,1.0185523909067156,47.61032,23.33333333,17.13,,,,,,,34.84,93.70038605,105.0,,,90.3235,2.845188,0.109,26.0,3.0,9.607,23.33333333,87.94330874,90.69420266,59.693,68.547
Italy,380,yes,yes,0.892,83.51,16.0889,10.37955,42776.35692,29.0,0.967767104697158,2.0,0.8753458332463552,0.9045005032696125,85.539,81.325,16.41448,15.78341,10.17920413,10.59922043,31638.919311589943,54529.25129868711,99.95,99.92,79.7274824,93.95802,101.87936,101.27041,61.933,0.24517,99.18309,3.82926,60.13943,10.3612126,1.26806,61567.2,74.3872,71.7819,14.273284335610592,39.774,31.4,11.48066,70.0,88.3,476.2846793,486.5898573,468.0117273,16.866,100.0,95.0,96.0,1.06,0.9769981672076992,0.9699882952445962,0.9929784419894071,1.1881886293521373,0.9105424509425766,1.1803528642997168,42.72882,35.26315789,31.78,20.4,2.4285714285714284,0.825,,15.72159,39.52253,23.27,91.62443542,150.0,19.0,5.0,69.9714,9.487782,0.069,14.0,2.0,5.24,35.26315789,75.89580065,83.35229244,40.759,58.997
Japan,392,yes,yes,0.919,84.63,15.23057,12.85,42931.69575,20.0,0.9775654704353921,1.0,0.9057559686513178,0.926542514076227,87.669,81.497,15.18894,15.2722,13.062,12.638,30583.929660183538,55869.37695070036,,,93.76192708,,,,,0.02326,99.95361,3.18618,36.81651,1.96979747,3.4416,31192.0,84.5881,89.7307,12.92327959299061,24.115,129.8,15.66096,,,503.856041,526.9732502,529.1354334,8.307,100.0,98.0,99.0,1.06,,,,0.7329236587095249,1.0324416293437029,0.8915211970074812,44.30943,14.50704225,12.87,14.44444,4.727264396706333,,,,,,98.06467438,98.0,,,99.91,14.91269,0.094,24.0,5.0,3.78,14.50704225,95.27327069,92.27957105,52.738,71.28
